what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.3.100.v20080205,org.eclipse.ui.forms,1204928782001
started,bundle,org.eclipse.mylyn.java.ui,2.3.0.I20080221-2200,org.eclipse.mylyn.java.ui,1204928782039
started,bundle,org.eclipse.mylyn.tasks.ui,2.3.0.I20080221-2200,org.eclipse.mylyn.tasks.ui,1204928782104
started,bundle,org.eclipse.search,3.4.0.v20080204-1800,org.eclipse.search,1204928782109
started,bundle,org.eclipse.mylyn.monitor.ui,2.3.0.I20080221-2200,org.eclipse.mylyn.monitor.ui,1204928782143
started,bundle,org.eclipse.update.scheduler,3.2.100.v20070615,org.eclipse.update.scheduler,1204928782164
started,bundle,org.eclipse.update.core,3.2.100.v20071113a,org.eclipse.update.core,1204928782171
started,bundle,org.eclipse.emf.common,2.4.0.v200802090050,org.eclipse.emf.common,1204928782190
started,bundle,org.eclipse.emf.ecore,2.4.0.v200802090050,org.eclipse.emf.ecore,1204928782206
started,bundle,org.eclipse.jem.util,2.0.1.v200802132233,org.eclipse.jem.util,1204928782207
started,bundle,org.eclipse.wst.common.frameworks,1.1.102.v200710230930,org.eclipse.wst.common.frameworks,1204928782214
started,bundle,org.eclipse.jst.jsf.core,1.0.1.v20080205,org.eclipse.jst.jsf.core,1204928782215
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.0.v200802130410,org.eclipse.wst.ws.service.policy.ui,1204928782218
started,bundle,org.eclipse.jst.common.frameworks,1.1.102.v200802140500,org.eclipse.jst.common.frameworks,1204928782247
started,bundle,org.eclipse.epp.usagedata.ui,0.5.2.N200802202215,org.eclipse.epp.usagedata.ui,1204928782609
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204928783211
started,bundle,org.eclipse.jdt.apt.core,3.3.100.v20080114-1450,org.eclipse.jdt.apt.core,1204928784135
started,bundle,org.eclipse.core.variables,3.2.0.v20070910,org.eclipse.core.variables,1204928784282
