what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jpt.ui,1.0.100.v200711120000,org.eclipse.jpt.ui,1204574310042
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.2.v200706120315,org.eclipse.jst.common.annotations.ui,1204574310045
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.2.v200712150805,org.eclipse.jst.j2ee.ejb.annotations.ui,1204574310101
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.305.v200712050540,org.eclipse.jst.ws.axis.creation.ui,1204574310149
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.303.v200801222140,org.eclipse.jst.ws.axis.consumption.ui,1204574310152
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.2.v200801292016,org.eclipse.jst.ws.axis2.creation.ui,1204574310161
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.101.v200711022106,org.eclipse.jst.ws.axis2.consumption.ui,1204574310163
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.102.v200802140422,org.eclipse.jst.ws.axis2.creation.core,1204574310166
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.102.v200802140422,org.eclipse.jst.ws.axis2.consumption.core,1204574310176
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.305.v200802062023,org.eclipse.jst.ws.creation.ui,1204574310187
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.0.v200802130444,org.eclipse.jst.ws.consumption.ui,1204574310207
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.102.v200802070330,org.eclipse.jst.j2ee.webservice.ui,1204574310208
stopped,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.102.v200801151219,org.eclipse.jst.j2ee.navigator.ui,1204574310208
stopped,bundle,org.eclipse.jst.jee.ui,1.0.1.v200711100040,org.eclipse.jst.jee.ui,1204574310209
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.102.v200802060934,org.eclipse.jst.ejb.ui,1204574310210
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.emitter,1.1.2.v200708301745,org.eclipse.jst.j2ee.ejb.annotations.emitter,1204574310218
stopped,bundle,org.eclipse.jst.j2ee.jca.ui,1.1.100.v200712130030,org.eclipse.jst.j2ee.jca.ui,1204574310219
stopped,bundle,org.eclipse.jst.servlet.ui,1.1.102.v200802041307,org.eclipse.jst.servlet.ui,1204574310232
stopped,bundle,org.eclipse.jst.j2ee.ui,1.1.102.v200802070330,org.eclipse.jst.j2ee.ui,1204574310235
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.0.1.v20080205,org.eclipse.jst.jsf.facesconfig.ui,1204574310254
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.0.1.v20080205,org.eclipse.jst.pagedesigner.jsf.ui,1204574310272
stopped,bundle,org.eclipse.jst.pagedesigner,1.0.1.v20080205,org.eclipse.jst.pagedesigner,1204574310285
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.0.1.v200801241417,org.eclipse.jst.jsf.common.ui,1204574310299
stopped,bundle,org.eclipse.jst.jsf.ui,1.0.1.v20080205,org.eclipse.jst.jsf.ui,1204574310307
stopped,bundle,org.eclipse.jst.jsf.core,1.0.1.v20080205,org.eclipse.jst.jsf.core,1204574310307
