what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.common.ui,1.1.301.v200802070635,org.eclipse.wst.common.ui,1204574310609
stopped,bundle,org.eclipse.wst.javascript.ui,1.0.200.v200711010929,org.eclipse.wst.javascript.ui,1204574310632
stopped,bundle,org.eclipse.wst.sse.ui,1.1.0.v200802081015,org.eclipse.wst.sse.ui,1204574310632
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.0.200802192156,org.eclipse.cdt.debug.mi.ui,1204574310632
stopped,bundle,org.eclipse.cdt.launch,5.0.0.200802192156,org.eclipse.cdt.launch,1204574310632
stopped,bundle,org.eclipse.cdt.debug.ui,5.0.0.200802192156,org.eclipse.cdt.debug.ui,1204574310656
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.0.200802192156,org.eclipse.cdt.managedbuilder.ui,1204574310669
stopped,bundle,org.eclipse.cdt.make.ui,5.0.0.200802192156,org.eclipse.cdt.make.ui,1204574310679
stopped,bundle,org.eclipse.cdt.ui,5.0.0.200802192156,org.eclipse.cdt.ui,1204574310680
stopped,bundle,org.eclipse.cdt.refactoring,5.0.0.200802192156,org.eclipse.cdt.refactoring,1204574310685
stopped,bundle,org.eclipse.wst.jsdt.ui,1.0.0.v200802132239,org.eclipse.wst.jsdt.ui,1204574310687
stopped,bundle,org.eclipse.search,3.4.0.v20080204-1800,org.eclipse.search,1204574310687
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080204-1800,org.eclipse.ltk.ui.refactoring,1204574310687
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080204-0800,org.eclipse.team.cvs.ui,1204574310698
stopped,bundle,org.eclipse.team.ui,3.4.0.I20080204-0800,org.eclipse.team.ui,1204574310698
stopped,bundle,org.eclipse.compare,3.4.0.I20080204-0800,org.eclipse.compare,1204574310698
stopped,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080204-1800,org.eclipse.jdt.core.manipulation,1204574310698
stopped,bundle,org.eclipse.cdt.debug.mi.core,5.0.0.200802192156,org.eclipse.cdt.debug.mi.core,1204574310698
stopped,bundle,org.eclipse.cdt.debug.core,5.0.0.200802192156,org.eclipse.cdt.debug.core,1204574310698
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.0.200802192156,org.eclipse.cdt.managedbuilder.gnu.ui,1204574310699
stopped,bundle,org.eclipse.cdt.managedbuilder.core,5.0.0.200802192156,org.eclipse.cdt.managedbuilder.core,1204574310702
stopped,bundle,org.eclipse.cdt.make.core,5.0.0.200802192156,org.eclipse.cdt.make.core,1204574310714
stopped,bundle,org.eclipse.cdt.core,5.0.0.200802192156,org.eclipse.cdt.core,1204574310714
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.0.200801161,org.eclipse.datatools.sqltools.ddlgen.ui,1204574310721
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.0.1.200801021,org.eclipse.datatools.connectivity.ui.dse,1204574310732
