what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.4.0.I20080205-0010,org.eclipse.jface,1204928781395
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080204-1800,org.eclipse.ltk.core.refactoring,1204928781403
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080204-1800,org.eclipse.ltk.ui.refactoring,1204928781463
started,bundle,org.eclipse.mylyn.context.core,2.3.0.I20080221-2200,org.eclipse.mylyn.context.core,1204928781463
started,bundle,org.eclipse.mylyn.context.ui,2.3.0.I20080221-2200,org.eclipse.mylyn.context.ui,1204928781472
started,bundle,org.eclipse.mylyn.tasks.core,2.3.0.I20080221-2200,org.eclipse.mylyn.tasks.core,1204928781472
started,bundle,org.eclipse.team.core,3.3.100.I20080207-0700,org.eclipse.team.core,1204928781473
started,bundle,org.eclipse.team.ui,3.4.0.I20080204-0800,org.eclipse.team.ui,1204928781474
started,bundle,org.eclipse.ui.console,3.2.100.v20080107,org.eclipse.ui.console,1204928781478
started,bundle,org.eclipse.ui.editors,3.4.0.v20080206-1800,org.eclipse.ui.editors,1204928781478
started,bundle,org.eclipse.ui.ide,3.4.0.I20080204-0800,org.eclipse.ui.ide,1204928781479
started,bundle,org.eclipse.ui.net,1.0.0.I20080115,org.eclipse.ui.net,1204928781479
started,bundle,org.eclipse.ui.views,3.2.200.I20080129-0800,org.eclipse.ui.views,1204928781480
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.0.v20080207-0800,org.eclipse.ui.workbench.texteditor,1204928781481
started,bundle,org.eclipse.ui.workbench,3.4.0.I20080205-0010,org.eclipse.ui.workbench,1204928781555
started,bundle,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui,1204928781556
started,bundle,org.eclipse.wst.common.project.facet.core,1.2.1.v200802060222,org.eclipse.wst.common.project.facet.core,1204928781557
started,bundle,org.eclipse.pde.ui,3.4.0.v20080207-1300,org.eclipse.pde.ui,1204928781564
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080204-0800,org.eclipse.ui.views.log,1204928781565
started,bundle,org.eclipse.epp.usagedata.gathering,0.5.2.N200802202215,org.eclipse.epp.usagedata.gathering,1204928781568
started,bundle,org.eclipse.epp.usagedata.recording,0.5.2.N200802202215,org.eclipse.epp.usagedata.recording,1204928781624
started,bundle,org.eclipse.mylyn.compatibility,2.3.0.I20080221-2200,org.eclipse.mylyn.compatibility,1204928781626
started,bundle,org.eclipse.mylyn.web.core,2.3.0.I20080221-2200,org.eclipse.mylyn.web.core,1204928781790
started,bundle,org.eclipse.mylyn.bugzilla.core,2.3.0.I20080221-2200,org.eclipse.mylyn.bugzilla.core,1204928781900
started,bundle,org.eclipse.mylyn.bugzilla.ui,2.3.0.I20080221-2200,org.eclipse.mylyn.bugzilla.ui,1204928781912
