what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.callhierarchy.view,1204565638208
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204565641273
activated,view,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.callhierarchy.view,1204565644161
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204565650687
activated,view,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.PackageExplorer,1204565652814
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.file.refresh,1204565656278
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204565658558
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204565659867
executed,command,org.eclipse.ui.ide,3.4.0.I20080204-0800,org.eclipse.ui.project.cleanAction,1204565659915
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204565663611
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204565817444
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204565821386
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.paste,1204565822006
activated,view,org.eclipse.search,3.4.0.v20080204-1800,org.eclipse.search.ui.views.SearchView,1204565826042
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204565826140
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204565831356
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080207-0800,org.eclipse.ui.edit.text.goto.lineStart,1204565832254
executed,command,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.edit.text.java.toggle.comment,1204565833184
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.file.save,1204565833605
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204565841808
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204565843321
executed,command,org.eclipse.ui.ide,3.4.0.I20080204-0800,org.eclipse.ui.project.cleanAction,1204565843404
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204565845417
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204568182765
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204568184813
