what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.launching.macosx,3.1.100.v20071210,org.eclipse.jdt.launching.macosx,1204562308547
started,bundle,org.eclipse.jdt.launching,3.4.0.v20080206,org.eclipse.jdt.launching,1204562308548
started,bundle,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui,1204562308548
started,bundle,org.eclipse.jface,3.4.0.I20080205-0010,org.eclipse.jface,1204562308548
started,bundle,org.eclipse.jsch.core,1.1.100.I20080204-0800,org.eclipse.jsch.core,1204562308550
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080204-1800,org.eclipse.ltk.core.refactoring,1204562308550
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080204-1800,org.eclipse.ltk.ui.refactoring,1204562308578
started,bundle,org.eclipse.mylyn.context.core,2.3.0.I20080221-2200,org.eclipse.mylyn.context.core,1204562308578
started,bundle,org.eclipse.mylyn.context.ui,2.3.0.I20080221-2200,org.eclipse.mylyn.context.ui,1204562308578
started,bundle,org.eclipse.mylyn.tasks.core,2.3.0.I20080221-2200,org.eclipse.mylyn.tasks.core,1204562308579
started,bundle,org.eclipse.team.core,3.3.100.I20080207-0700,org.eclipse.team.core,1204562308579
started,bundle,org.eclipse.team.ui,3.4.0.I20080204-0800,org.eclipse.team.ui,1204562308580
started,bundle,org.eclipse.ui.editors,3.4.0.v20080206-1800,org.eclipse.ui.editors,1204562308580
started,bundle,org.eclipse.ui.ide,3.4.0.I20080204-0800,org.eclipse.ui.ide,1204562308581
started,bundle,org.eclipse.ui.net,1.0.0.I20080115,org.eclipse.ui.net,1204562308581
started,bundle,org.eclipse.ui.views,3.2.200.I20080129-0800,org.eclipse.ui.views,1204562308582
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.0.v20080207-0800,org.eclipse.ui.workbench.texteditor,1204562308583
started,bundle,org.eclipse.ui.workbench,3.4.0.I20080205-0010,org.eclipse.ui.workbench,1204562308584
started,bundle,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui,1204562308585
started,bundle,org.eclipse.wst.common.project.facet.core,1.2.1.v200802060222,org.eclipse.wst.common.project.facet.core,1204562308586
started,bundle,org.eclipse.pde.ui,3.4.0.v20080207-1300,org.eclipse.pde.ui,1204562308597
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080204-0800,org.eclipse.ui.views.log,1204562308597
started,bundle,org.eclipse.wst.jsdt.core,1.0.0.v200802132239,org.eclipse.wst.jsdt.core,1204562308598
started,bundle,org.eclipse.epp.usagedata.gathering,0.5.2.N200802202215,org.eclipse.epp.usagedata.gathering,1204562308604
started,bundle,org.eclipse.epp.usagedata.recording,0.5.2.N200802202215,org.eclipse.epp.usagedata.recording,1204562308618
