what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.compatibility,2.3.0.I20080221-2200,org.eclipse.mylyn.compatibility,1204562308627
started,bundle,org.eclipse.mylyn.web.core,2.3.0.I20080221-2200,org.eclipse.mylyn.web.core,1204562308673
started,bundle,org.eclipse.mylyn.bugzilla.core,2.3.0.I20080221-2200,org.eclipse.mylyn.bugzilla.core,1204562308834
started,bundle,org.eclipse.mylyn.bugzilla.ui,2.3.0.I20080221-2200,org.eclipse.mylyn.bugzilla.ui,1204562308891
started,bundle,org.eclipse.ui.forms,3.3.100.v20080205,org.eclipse.ui.forms,1204562308908
started,bundle,org.eclipse.mylyn.java.ui,2.3.0.I20080221-2200,org.eclipse.mylyn.java.ui,1204562308930
started,bundle,org.eclipse.mylyn.tasks.ui,2.3.0.I20080221-2200,org.eclipse.mylyn.tasks.ui,1204562308973
started,bundle,org.eclipse.search,3.4.0.v20080204-1800,org.eclipse.search,1204562308991
started,bundle,org.eclipse.mylyn.monitor.ui,2.3.0.I20080221-2200,org.eclipse.mylyn.monitor.ui,1204562309037
started,bundle,org.eclipse.update.scheduler,3.2.100.v20070615,org.eclipse.update.scheduler,1204562309069
started,bundle,org.eclipse.update.core,3.2.100.v20071113a,org.eclipse.update.core,1204562309191
started,bundle,org.eclipse.emf.common,2.4.0.v200802090050,org.eclipse.emf.common,1204562309318
started,bundle,org.eclipse.emf.ecore,2.4.0.v200802090050,org.eclipse.emf.ecore,1204562309336
started,bundle,org.eclipse.jem.util,2.0.1.v200802132233,org.eclipse.jem.util,1204562309337
started,bundle,org.eclipse.wst.common.frameworks,1.1.102.v200710230930,org.eclipse.wst.common.frameworks,1204562309339
started,bundle,org.eclipse.jst.jsf.core,1.0.1.v20080205,org.eclipse.jst.jsf.core,1204562309340
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.0.v200802130410,org.eclipse.wst.ws.service.policy.ui,1204562309361
started,bundle,org.eclipse.jst.common.frameworks,1.1.102.v200802140500,org.eclipse.jst.common.frameworks,1204562309371
activated,view,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.PackageExplorer,1204562312222
activated,view,org.eclipse.ui.ide,3.4.0.I20080204-0800,org.eclipse.ui.views.ProblemView,1204562315742
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.delete,1204562320515
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.delete,1204562326658
activated,view,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.PackageExplorer,1204562329913
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204562337338
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204562339438
