what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.TypeHierarchy,1204563719393
activated,view,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.TypeHierarchy,1204563719409
executed,command,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.edit.text.java.open.type.hierarchy,1204563719627
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204563722382
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204563727247
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204563729192
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204563735014
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204563736066
executed,command,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.edit.text.java.open.editor,1204563736085
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080207-0800,org.eclipse.ui.edit.text.hippieCompletion,1204563746256
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.file.save,1204563748497
opened,view,org.eclipse.search,3.4.0.v20080204-1800,org.eclipse.search.ui.views.SearchView,1204563760252
activated,view,org.eclipse.search,3.4.0.v20080204-1800,org.eclipse.search.ui.views.SearchView,1204563760268
executed,command,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.edit.text.java.search.references.in.project,1204563760371
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080206,org.eclipse.jdt.debug,1204563760461
started,bundle,org.eclipse.debug.ui,3.3.100.v20080204,org.eclipse.debug.ui,1204563760524
started,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080206,org.eclipse.jdt.debug.ui,1204563760567
started,bundle,org.eclipse.jst.jsp.ui,1.1.300.v200801310255,org.eclipse.jst.jsp.ui,1204563760596
started,bundle,org.eclipse.wst.sse.core,1.1.300.v200801310255,org.eclipse.wst.sse.core,1204563760680
started,bundle,org.eclipse.jst.jsp.core,1.2.100.v200802071045,org.eclipse.jst.jsp.core,1204563760703
executed,command,org.eclipse.ui.ide,3.4.0.I20080204-0800,org.eclipse.ui.project.buildAutomatically,1204563779355
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20070826,org.eclipse.ui.externaltools,1204563781161
started,bundle,org.eclipse.ant.ui,3.2.200.v20080129,org.eclipse.ant.ui,1204563781191
started,bundle,org.eclipse.ui.console,3.2.100.v20080107,org.eclipse.ui.console,1204563781240
started,bundle,org.eclipse.ant.core,3.1.300.v20080128,org.eclipse.ant.core,1204563781561
