what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204562360475
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204562362194
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204562378365
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204562398470
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204562401096
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204562415784
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204562417209
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204562417235
executed,command,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.edit.text.java.open.editor,1204562417281
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204562494244
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204562494261
executed,command,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.edit.text.java.open.editor,1204562494264
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204562497536
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204562497563
executed,command,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.edit.text.java.open.editor,1204562497598
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204562686561
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204563601213
started,bundle,org.eclipse.jdt.junit,3.3.100.v20080204-1800,org.eclipse.jdt.junit,1204563606846
started,bundle,org.eclipse.jst.server.ui,1.0.303.v20080108,org.eclipse.jst.server.ui,1204563610359
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.file.save,1204563615588
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204563620136
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204563620167
executed,command,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.edit.text.java.open.editor,1204563620170
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204563627897
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.copy,1204563647322
