what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.osgi,3.4.0.v20080205,org.eclipse.osgi,1204928781218
started,bundle,org.eclipse.equinox.common,3.4.0.v20080201,org.eclipse.equinox.common,1204928781219
started,bundle,org.eclipse.update.configurator,3.2.200.v20080107,org.eclipse.update.configurator,1204928781220
started,bundle,org.eclipse.core.runtime,3.4.0.v20080201,org.eclipse.core.runtime,1204928781227
started,bundle,com.ibm.icu,3.8.1.v20080103,com.ibm.icu,1204928781275
started,bundle,org.eclipse.core.contenttype,3.3.0.v20080201,org.eclipse.core.contenttype,1204928781275
started,bundle,org.eclipse.core.databinding,1.1.0.I20080204-0011,org.eclipse.core.databinding,1204928781357
started,bundle,org.eclipse.core.expressions,3.4.0.v20080204-1800,org.eclipse.core.expressions,1204928781358
started,bundle,org.eclipse.core.filebuffers,3.3.100.v20080204-1800,org.eclipse.core.filebuffers,1204928781362
started,bundle,org.eclipse.core.filesystem,1.2.0.v20071207,org.eclipse.core.filesystem,1204928781363
started,bundle,org.eclipse.core.jobs,3.3.100.v20071207,org.eclipse.core.jobs,1204928781364
started,bundle,org.eclipse.core.net,1.0.100.I20080207-0700,org.eclipse.core.net,1204928781364
started,bundle,org.eclipse.core.resources,3.4.0.v20080205,org.eclipse.core.resources,1204928781365
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20070502,org.eclipse.core.runtime.compatibility.auth,1204928781365
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20071008,org.eclipse.core.runtime.compatibility,1204928781366
started,bundle,org.eclipse.debug.core,3.4.0.v20080204,org.eclipse.debug.core,1204928781366
started,bundle,org.eclipse.equinox.app,1.0.100.v20080201,org.eclipse.equinox.app,1204928781367
started,bundle,org.eclipse.equinox.preferences,3.2.200.v20080201,org.eclipse.equinox.preferences,1204928781367
started,bundle,org.eclipse.equinox.registry,3.4.0.v20080201,org.eclipse.equinox.registry,1204928781368
started,bundle,org.eclipse.help,3.3.100.v20080205,org.eclipse.help,1204928781368
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080204-1800,org.eclipse.jdt.core.manipulation,1204928781369
started,bundle,org.eclipse.jdt.core,3.4.0.v_836,org.eclipse.jdt.core,1204928781391
started,bundle,org.eclipse.jdt.launching.macosx,3.1.100.v20071210,org.eclipse.jdt.launching.macosx,1204928781391
started,bundle,org.eclipse.jdt.launching,3.4.0.v20080206,org.eclipse.jdt.launching,1204928781392
started,bundle,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui,1204928781392
