what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204574303695
started,bundle,org.eclipse.mylyn.resources.ui,2.3.0.I20080221-2200,org.eclipse.mylyn.resources.ui,1204574309021
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204574309247
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.2.v200706120315,org.eclipse.jst.j2ee.xdoclet.runtime,1204574309616
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.1.2.v200712151529,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1204574309632
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.105.v20071217,org.eclipse.jst.server.generic.jboss,1204574309674
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.105.v20071217,org.eclipse.jst.server.generic.jonas,1204574309733
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.105.v20071217,org.eclipse.jst.server.generic.oc4j,1204574309744
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.201.v200710172337,org.eclipse.jst.server.websphere.core,1204574309747
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.205.v20080204,org.eclipse.jst.server.generic.ui,1204574309780
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.205.v20071217,org.eclipse.jst.server.generic.core,1204574309863
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080122-0800,org.eclipse.pde.runtime,1204574309875
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20070115-0800,org.eclipse.pde.ui.templates,1204574309896
stopped,bundle,org.eclipse.rap.ui.launch,1.1.0.200802201748,org.eclipse.rap.ui.launch,1204574309906
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20080207-1300,org.eclipse.pde.ui,1204574309906
stopped,bundle,org.eclipse.ant.ui,3.2.200.v20080129,org.eclipse.ant.ui,1204574309906
stopped,bundle,org.eclipse.mylyn.java.ui,2.3.0.I20080221-2200,org.eclipse.mylyn.java.ui,1204574309906
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.100.v20080212,org.eclipse.jst.server.tomcat.ui,1204574309913
stopped,bundle,org.eclipse.jst.server.ui,1.0.303.v20080108,org.eclipse.jst.server.ui,1204574309913
stopped,bundle,org.eclipse.jdt.junit,3.3.100.v20080204-1800,org.eclipse.jdt.junit,1204574309913
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080107-1835,org.eclipse.jdt.apt.ui,1204574309923
stopped,bundle,org.eclipse.jem.ui,2.0.0.v200705302225,org.eclipse.jem.ui,1204574309943
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.0.100.v20080108,org.eclipse.jst.server.preview.adapter,1204574309944
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080206,org.eclipse.jdt.debug.ui,1204574309944
stopped,bundle,org.eclipse.jdt.launching.macosx,3.1.100.v20071210,org.eclipse.jdt.launching.macosx,1204574309944
