what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.debug.ui,3.3.100.v20080204,org.eclipse.debug.ui,1204574310865
stopped,bundle,org.eclipse.datatools.sqltools.sql,1.0.0.200710291,org.eclipse.datatools.sqltools.sql,1204574310868
stopped,bundle,org.eclipse.ui.editors,3.4.0.v20080206-1800,org.eclipse.ui.editors,1204574310868
stopped,bundle,org.eclipse.wst.dtd.core,1.1.200.v200801170608,org.eclipse.wst.dtd.core,1204574310869
stopped,bundle,org.eclipse.wst.xsd.core,1.1.300.v200802062320,org.eclipse.wst.xsd.core,1204574310869
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotation.model,1.1.2.v200710172337,org.eclipse.jst.j2ee.ejb.annotation.model,1204574310874
stopped,bundle,org.eclipse.jst.jee.ejb,1.0.1.v200711100040,org.eclipse.jst.jee.ejb,1204574310878
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.304.v200801221947,org.eclipse.jst.ws.consumption,1204574310881
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.304.v200712230104,org.eclipse.jst.ws.axis.consumption.core,1204574310886
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.102.v200802140422,org.eclipse.jst.ws.axis2.core,1204574310896
stopped,bundle,org.eclipse.jst.ws,1.0.304.v200802130410,org.eclipse.jst.ws,1204574310907
stopped,bundle,org.eclipse.jst.j2ee.ejb,1.1.104.v200802130100,org.eclipse.jst.j2ee.ejb,1204574310907
stopped,bundle,org.eclipse.jst.j2ee.jca,1.1.104.v200711102215,org.eclipse.jst.j2ee.jca,1204574310907
stopped,bundle,org.eclipse.jst.jee.web,1.0.1.v200711100040,org.eclipse.jst.jee.web,1204574310914
stopped,bundle,org.eclipse.jst.j2ee.web,1.1.104.v200801291237,org.eclipse.jst.j2ee.web,1204574310914
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.101.v200802070330,org.eclipse.jst.j2ee.webservice,1204574310927
stopped,bundle,org.eclipse.jst.jee,1.0.1.v200801300500,org.eclipse.jst.jee,1204574310927
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.0.1.v20080205,org.eclipse.jst.jsf.facesconfig,1204574310956
stopped,bundle,org.eclipse.jst.j2ee,1.1.105.v200802130100,org.eclipse.jst.j2ee,1204574310956
stopped,bundle,org.eclipse.jst.j2ee.core,1.1.103.v200802130100,org.eclipse.jst.j2ee.core,1204574310956
stopped,bundle,org.eclipse.jst.jsp.core,1.2.100.v200802071045,org.eclipse.jst.jsp.core,1204574310956
stopped,bundle,org.eclipse.wst.jsdt.web.core,1.0.0.v200802062329,org.eclipse.wst.jsdt.web.core,1204574310956
stopped,bundle,org.eclipse.wst.html.core,1.1.200.v200802071045,org.eclipse.wst.html.core,1204574310980
stopped,bundle,org.eclipse.wst.css.core,1.1.200.v200801170608,org.eclipse.wst.css.core,1204574311000
