what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.paste,1204563650653
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.file.save,1204563663303
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080207-0800,org.eclipse.ui.edit.text.goto.lineStart,1204563672470
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080207-0800,org.eclipse.ui.edit.text.goto.lineStart,1204563672637
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.copy,1204563674073
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.paste,1204563675173
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080207-0800,org.eclipse.ui.edit.text.goto.lineStart,1204563678557
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080207-0800,org.eclipse.ui.edit.text.goto.lineStart,1204563678949
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.cut,1204563680311
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.paste,1204563681893
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.delete,1204563685489
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.delete,1204563685640
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.delete,1204563685808
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.delete,1204563685976
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.delete,1204563686144
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.delete,1204563686312
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.delete,1204563686464
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.delete,1204563686632
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.delete,1204563686800
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.delete,1204563686976
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.edit.delete,1204563687256
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.file.save,1204563698835
executed,command,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.edit.text.java.open.editor,1204563701964
executed,command,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.edit.text.java.open.editor,1204563710162
started,bundle,org.eclipse.compare,3.4.0.I20080204-0800,org.eclipse.compare,1204563717627
