what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204565547618
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204565550422
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080207-0800,org.eclipse.ui.edit.text.goto.lineStart,1204565552943
executed,command,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.edit.text.java.toggle.comment,1204565555223
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.file.save,1204565558998
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080207-0800,org.eclipse.ui.edit.text.goto.lineEnd,1204565560822
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.file.save,1204565580575
started,bundle,org.eclipse.wst.server.core,1.0.304.v20080214,org.eclipse.wst.server.core,1204565585443
started,bundle,org.eclipse.wst.server.ui,1.0.305.v20080212b,org.eclipse.wst.server.ui,1204565585456
started,bundle,org.eclipse.cdt.launch,5.0.0.200802192156,org.eclipse.cdt.launch,1204565585476
started,bundle,org.eclipse.cdt.core,5.0.0.200802192156,org.eclipse.cdt.core,1204565586074
activated,view,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.callhierarchy.view,1204565589286
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204565592612
activated,view,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.callhierarchy.view,1204565596214
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204565598974
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080207-0800,org.eclipse.ui.edit.text.goto.lineStart,1204565602590
executed,command,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.edit.text.java.toggle.comment,1204565603912
executed,command,org.eclipse.ui,3.4.0.I20080207-1300,org.eclipse.ui.file.save,1204565604648
started,bundle,org.eclipse.wst.common.emf,1.1.104.v200802070330,org.eclipse.wst.common.emf,1204565605098
started,bundle,org.eclipse.jst.j2ee.core,1.1.103.v200802130100,org.eclipse.jst.j2ee.core,1204565605135
started,bundle,org.eclipse.jem,2.0.100.v200710171900,org.eclipse.jem,1204565605168
started,bundle,org.eclipse.emf.ecore.xmi,2.4.0.v200802090050,org.eclipse.emf.ecore.xmi,1204565605185
started,bundle,org.eclipse.jst.jee,1.0.1.v200801300500,org.eclipse.jst.jee,1204565605371
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.101.v200802070330,org.eclipse.wst.common.frameworks.ui,1204565605395
started,bundle,org.eclipse.wst.xml.core,1.1.300.v200802151147,org.eclipse.wst.xml.core,1204565605398
