what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.build,3.4.0.v20080206,org.eclipse.pde.build,1204563781849
started,bundle,org.eclipse.emf.ant,2.3.1.v200802090050,org.eclipse.emf.ant,1204563781915
started,bundle,org.eclipse.help.base,3.3.100.v20080201,org.eclipse.help.base,1204563781921
activated,view,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.PackageExplorer,1204563781949
started,bundle,org.eclipse.emf.converter,2.3.0.v200802090050,org.eclipse.emf.converter,1204563781950
started,bundle,org.eclipse.emf.importer,2.4.0.v200802090050,org.eclipse.emf.importer,1204563781951
started,bundle,org.eclipse.emf.importer.ecore,2.3.1.v200802090050,org.eclipse.emf.importer.ecore,1204563781951
started,bundle,org.eclipse.wst.command.env,1.0.305.v200711051651,org.eclipse.wst.command.env,1204563781966
started,bundle,org.eclipse.emf.importer.rose,2.4.0.v200802090050,org.eclipse.emf.importer.rose,1204563781966
started,bundle,org.eclipse.emf.importer.java,2.4.0.v200802090050,org.eclipse.emf.importer.java,1204563781967
started,bundle,org.eclipse.pde,3.3.0.v20080122-0800,org.eclipse.pde,1204563781972
started,bundle,org.eclipse.pde.core,3.4.0.v20080206-0010,org.eclipse.pde.core,1204563782048
opened,view,org.eclipse.ui.console,3.2.100.v20080107,org.eclipse.ui.console.ConsoleView,1204563782399
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.0.200802192156,org.eclipse.cdt.debug.mi.ui,1204563782484
started,bundle,org.eclipse.cdt.debug.core,5.0.0.200802192156,org.eclipse.cdt.debug.core,1204563782544
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.0.200802192156,org.eclipse.cdt.debug.mi.core,1204563782546
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204563791889
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080205-0010,,1204565529199
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204565531941
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204565536193
opened,view,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.callhierarchy.view,1204565541296
activated,view,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.callhierarchy.view,1204565541324
executed,command,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy,1204565541346
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204565543665
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080207-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1204565545660
